UserID,Discord Username,Avatar,Name,Rank,Race,Class,Weapon,Wins,Losses,Ties,Nickname
436253383251329035,xhorxhi,<:beacon:596111271053623346>,Disappointed,Bloodletter,Nord,Spellsword,Dual Shortswords and Frostbite,6,1,0,xhorxhi
370044739145302016,murpple,🤤,Martin Urpple,Brawler,Dunmer,Spellsword,Longsword and Fire Magic,3,0,0,murpple
209679251526385665,Yuri,☪️,Turid Snow-Clad,Brawler,Nord,Monk,Hand-To-Hand,3,0,0,The Second Coming of Barenziah
307469221175230464,Humble Altmer,🌞,Humble,Pit Dog,Altmer,Battlemage,Bound Sword,2,5,0,|Not A Vampire, Humbly|
322786659437641729,purplerhino83,<:feelsbadmer:585578406960168970>,CringNorman,Pit Dog,Dunmer,Nightblade,Shortsword & Bow,1,0,0,purplerhino83
516742702608416815,Barenziah,<:thonkeng:407932593183522816>,Autistziah,Pit Dog,Dunmer,Battlemage,Sword and Flames,1,0,0,Barenziah
151122050839216128,MCMW10o1【Paid Moderator】,🗿,Ziggy,Pit Dog,Dunmer,Bard,Spoons and Sparks,1,1,0,|Ziggy, Sink Piss Rising|
374304750642135043,Muatra,😳,Neretard,Pit Dog,Breton,Monk,Hand-To-Hand,1,2,0,Phatpandav1000
300460586322362368,Badoomm,<:thonkVehk:357228960028950529>,Badoomm,Pit Dog,Dunmer,Mage,Staff,0,0,0,Badoomm
236483469574668289,Bazinga,🎅,Clauline,Pit Dog,Breton,Mage,Dagger and Staff,0,0,0,Clauline The Santa 🐉
469342236056879104,Arcadian,<:SCREEEEE:407924171234869260> ,Gives-Her-Muatra,Pit Dog,Argonian,Warrior,Spear,0,0,0,Arcadian
324382502502268929,TheRealBananaMan76,<:thonkeng:407932593183522816> ,Unit-69,Pit Dog,Dwemer Animunculus,Bard,Dwarven Spear,0,0,0,Unit-69 v2.0 (Banana Man)
428610269288202241,butlem1,<:confusedredguard:596111271909261312>,Snow Dealer,Pit Dog,Redguard,Bard,Lute/Dagger,0,1,0,Talos=Santa
